"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.202794375E0,-1.390729785E0,-1.471738100E0,1.704611659E0
3.212820375E0,-1.350270271E0,-1.198202372E0,1.626286268E0
3.222847375E0,-1.241885662E0,-1.124817371E0,1.725187778E0
3.232873375E0,-1.135893703E0,-1.452016473E0,1.930976868E0
3.242899375E0,-1.071905255E0,-1.956817150E0,2.081073046E0
3.252925375E0,-1.052461505E0,-2.381000996E0,2.062021732E0
3.262952375E0,-1.041513085E0,-2.557111979E0,1.862102628E0
3.272978375E0,-1.016996741E0,-2.302276373E0,1.534820199E0
3.283004375E0,-9.650113583E-1,-2.013895988E0,1.181937575E0
3.293031375E0,-8.750708103E-1,-2.096525431E0,8.618699908E-1
3.303057375E0,-7.976525426E-1,-2.467825890E0,6.433229446E-1
3.313082292E0,-1.511133075E0,-3.575008631E0,3.191720247E-1
3.323109292E0,-2.020118475E0,-3.792379379E0,3.842421174E-1
3.333135292E0,-2.500810623E0,-4.112103462E0,6.190517545E-1
3.343161292E0,-2.919321537E0,-4.347908020E0,8.544491529E-1
3.353187292E0,-3.080543995E0,-4.462778091E0,9.155689478E-1
3.363214292E0,-2.942822933E0,-4.267287731E0,8.274868727E-1
3.373240292E0,-2.609140635E0,-3.532604456E0,7.440324426E-1
3.383266292E0,-2.170307636E0,-2.585552692E0,8.622397184E-1
3.393293292E0,-1.706731915E0,-1.778578639E0,1.157115102E0
3.403319292E0,-1.392688394E0,-1.201540947E0,1.457434058E0
3.413345292E0,-1.213487148E0,-9.187339544E-1,1.691418290E0
3.423372292E0,-1.118758082E0,-8.460766673E-1,1.645118237E0
3.433398292E0,-1.128145218E0,-9.159880877E-1,1.399900317E0
3.443424292E0,-1.202750921E0,-9.353104234E-1,1.206905603E0
3.453450292E0,-1.447667956E0,-6.669503450E-1,1.231209040E0
3.463477292E0,-1.943021297E0,-3.789174855E-1,1.325598478E0
3.473503292E0,-2.481234074E0,-2.017133981E-1,1.320787668E0
3.483529292E0,-2.803292274E0,-1.116161197E-1,1.076737881E0
3.493556292E0,-2.849185944E0,-6.604251266E-2,6.045432687E-1
3.503582292E0,-2.724261284E0,2.954081260E-2,1.000389904E-1
3.513608292E0,-2.581165314E0,2.036199272E-1,-3.108782470E-1
3.523635292E0,-2.525897741E0,3.211036325E-1,-6.072924137E-1
3.533661292E0,-2.550012589E0,2.657562196E-1,-8.550707698E-1
3.543687292E0,-2.606025696E0,2.582801506E-2,-1.093467951E0
